iter	Passed	Remaining
0	165	164984
1	183	91658
2	202	67340
3	220	54923
4	238	47388
5	256	42469
6	275	39117
7	296	36727
8	315	34700
9	333	32986
10	351	31600
11	368	30362
12	386	29327
13	404	28493
14	422	27712
15	439	27000
16	456	26395
17	474	25884
18	491	25386
19	508	24913
20	525	24519
21	544	24198
22	561	23854
23	579	23561
24	597	23305
25	614	23030
26	632	22783
27	649	22532
28	667	22336
29	683	22109
30	701	21925
31	718	21736
32	735	21542
33	752	21377
34	769	21206
35	787	21077
36	804	20945
37	822	20820
38	839	20686
39	856	20562
40	874	20458
41	892	20350
42	909	20244
43	927	20156
44	945	20057
45	962	19956
46	980	19891
47	999	19830
48	1017	19755
49	1037	19707
50	1054	19615
51	1071	19531
52	1087	19440
53	1105	19361
54	1121	19272
55	1137	19181
56	1154	19108
57	1172	19050
58	1190	18992
59	1210	18969
60	1227	18900
61	1244	18831
62	1261	18760
63	1278	18704
64	1297	18667
65	1317	18639
66	1332	18557
67	1350	18508
68	1367	18451
69	1385	18404
70	1403	18359
71	1420	18304
72	1437	18253
73	1455	18213
74	1473	18169
75	1490	18118
76	1507	18072
77	1525	18031
78	1543	17993
79	1560	17943
80	1576	17881
81	1593	17844
82	1612	17819
83	1630	17775
84	1646	17728
85	1663	17682
86	1681	17643
87	1698	17601
88	1715	17563
89	1734	17536
90	1752	17501
91	1770	17472
92	1788	17438
93	1804	17390
94	1820	17347
95	1842	17348
96	1860	17324
97	1879	17297
98	1896	17263
99	1916	17244
100	1933	17206
101	1950	17173
102	1968	17145
103	1987	17124
104	2006	17102
105	2025	17082
106	2045	17072
107	2065	17058
108	2085	17047
109	2104	17027
110	2122	16999
111	2140	16970
112	2158	16940
113	2175	16911
114	2193	16882
115	2212	16860
116	2231	16841
117	2249	16813
118	2266	16780
119	2283	16745
120	2300	16713
121	2320	16701
122	2340	16684
123	2358	16662
124	2376	16636
125	2395	16617
126	2413	16590
127	2430	16559
128	2447	16528
129	2465	16501
130	2482	16470
131	2500	16439
132	2517	16412
133	2537	16396
134	2554	16367
135	2570	16331
136	2587	16296
137	2603	16265
138	2621	16235
139	2637	16204
140	2655	16180
141	2673	16151
142	2690	16126
143	2708	16102
144	2726	16077
145	2744	16052
146	2762	16030
147	2781	16013
148	2799	15991
149	2818	15969
150	2836	15950
151	2852	15913
152	2870	15889
153	2888	15867
154	2907	15848
155	2926	15834
156	2944	15810
157	2962	15789
158	2979	15758
159	2996	15731
160	3014	15708
161	3033	15693
162	3050	15663
163	3067	15637
164	3085	15613
165	3103	15591
166	3120	15564
167	3139	15545
168	3157	15524
169	3174	15498
170	3193	15483
171	3211	15457
172	3226	15424
173	3244	15404
174	3263	15384
175	3281	15362
176	3297	15334
177	3314	15306
178	3332	15282
179	3352	15271
180	3372	15258
181	3390	15240
182	3408	15216
183	3428	15204
184	3446	15182
185	3462	15153
186	3480	15131
187	3499	15116
188	3518	15096
189	3536	15078
190	3556	15062
191	3576	15052
192	3595	15033
193	3612	15007
194	3629	14982
195	3647	14962
196	3665	14941
197	3684	14923
198	3702	14903
199	3721	14884
200	3739	14863
201	3758	14846
202	3776	14827
203	3794	14806
204	3811	14781
205	3830	14763
206	3849	14748
207	3867	14728
208	3885	14704
209	3903	14684
210	3920	14661
211	3936	14632
212	3953	14607
213	3970	14583
214	3991	14573
215	4009	14554
216	4027	14534
217	4046	14513
218	4064	14493
219	4081	14471
220	4100	14454
221	4118	14433
222	4135	14410
223	4153	14388
224	4172	14372
225	4189	14349
226	4222	14378
227	4240	14359
228	4261	14346
229	4279	14327
230	4299	14313
231	4318	14294
232	4336	14276
233	4354	14255
234	4375	14244
235	4394	14224
236	4412	14205
237	4430	14185
238	4449	14166
239	4467	14146
240	4486	14129
241	4504	14108
242	4522	14088
243	4541	14071
244	4560	14054
245	4577	14029
246	4595	14008
247	4612	13986
248	4629	13964
249	4649	13949
250	4669	13933
251	4687	13914
252	4706	13897
253	4724	13875
254	4741	13854
255	4759	13833
256	4778	13813
257	4795	13792
258	4813	13770
259	4831	13751
260	4849	13730
261	4868	13712
262	4885	13691
263	4903	13671
264	4922	13653
265	4940	13632
266	4959	13614
267	4976	13592
268	4993	13570
269	5010	13547
270	5027	13524
271	5045	13503
272	5062	13480
273	5080	13461
274	5097	13439
275	5115	13420
276	5134	13401
277	5152	13381
278	5171	13364
279	5187	13340
280	5205	13319
281	5224	13302
282	5242	13281
283	5261	13264
284	5280	13246
285	5298	13228
286	5316	13207
287	5333	13186
288	5352	13169
289	5371	13151
290	5390	13134
291	5409	13117
292	5427	13096
293	5443	13072
294	5460	13050
295	5478	13030
296	5495	13008
297	5512	12986
298	5532	12970
299	5550	12952
300	5570	12935
301	5588	12916
302	5607	12898
303	5624	12876
304	5644	12861
305	5663	12845
306	5682	12828
307	5700	12807
308	5718	12787
309	5735	12767
310	5755	12750
311	5774	12733
312	5792	12714
313	5810	12694
314	5828	12675
315	5847	12657
316	5866	12639
317	5885	12621
318	5903	12601
319	5920	12581
320	5937	12559
321	5956	12541
322	5974	12521
323	5991	12501
324	6010	12483
325	6029	12465
326	6047	12446
327	6064	12425
328	6081	12403
329	6100	12386
330	6117	12364
331	6134	12343
332	6151	12320
333	6169	12302
334	6187	12283
335	6206	12264
336	6224	12245
337	6241	12224
338	6259	12205
339	6279	12189
340	6296	12168
341	6315	12150
342	6334	12132
343	6352	12113
344	6370	12094
345	6388	12074
346	6409	12062
347	6427	12041
348	6444	12021
349	6466	12009
350	6485	11992
351	6504	11973
352	6524	11958
353	6543	11940
354	6560	11919
355	6579	11901
356	6597	11883
357	6615	11863
358	6635	11847
359	6654	11829
360	6673	11813
361	6691	11793
362	6709	11773
363	6726	11753
364	6744	11733
365	6764	11717
366	6783	11699
367	6800	11679
368	6818	11660
369	6836	11640
370	6855	11622
371	6873	11604
372	6892	11585
373	6908	11563
374	6926	11543
375	6943	11523
376	6963	11506
377	6981	11487
378	6999	11469
379	7018	11451
380	7035	11431
381	7053	11411
382	7073	11394
383	7090	11374
384	7108	11355
385	7126	11335
386	7146	11319
387	7165	11302
388	7185	11285
389	7202	11264
390	7220	11246
391	7237	11226
392	7255	11205
393	7272	11186
394	7292	11168
395	7309	11149
396	7326	11127
397	7343	11107
398	7361	11089
399	7381	11072
400	7401	11056
401	7421	11040
402	7440	11022
403	7458	11002
404	7477	10985
405	7494	10965
406	7513	10947
407	7530	10926
408	7548	10906
409	7567	10889
410	7584	10868
411	7601	10848
412	7619	10829
413	7637	10810
414	7656	10792
415	7673	10772
416	7693	10755
417	7711	10736
418	7729	10717
419	7748	10700
420	7765	10679
421	7782	10658
422	7798	10638
423	7816	10619
424	7835	10600
425	7853	10582
426	7871	10563
427	7888	10542
428	7907	10524
429	7924	10505
430	7942	10485
431	7962	10468
432	7979	10449
433	7998	10431
434	8016	10412
435	8035	10394
436	8053	10375
437	8070	10355
438	8090	10338
439	8110	10321
440	8126	10301
441	8147	10285
442	8166	10268
443	8185	10250
444	8202	10230
445	8221	10211
446	8239	10193
447	8257	10174
448	8275	10155
449	8292	10135
450	8310	10116
451	8327	10096
452	8347	10079
